page,total_requests,ip_count
/siargao/check/cloud-nine-breeze/,4,3
/siargao/place/27/12/2025,4,3
/apis/getresortitem/sunset-sand-dunes/,4,2
/app-ads.txt,4,2
/big-beg-petli-zasypnoy-vysypnoy/,4,2
/city-scholars/,4,2
/est/${encodeURIComponent(r.name)},4,2
/home/favicon.ico,4,2
/humans.txt,4,2
/license.txt,4,2
/llms.txt,4,2
/our-school/statutory-information/news_view_23_155.html,4,2
/our-school/statutory-information/show_152.html,4,2
/pages/blog/siargao/visit-firefly-watching-a-complete-travel-guide/firefly-watching,4,2
/place/27/1/2026/#community-bulletin,4,2
/place/27/1/2026/#events,4,2
/place/27/1/2026/#schedules,4,2
/place/27/1/2026/#top,4,2
/places/siargao/2026/3/,4,2
/security.txt,4,2
/siargao/check/saffron-shore-siargao-beachfront-villas,4,2
/singlepage2/templates/singlepage2/travel/philippines/cebu/cebucity/where-to-eat-breakfast-and-lunch.jpg,4,2
/vendor/phpunit/phpunit/phpunit.xsd,4,2
/api/action,4,1
/apis/getPlaceEvents/Siargao/,4,1
/apis/getresortitem/palm-canopy-escape/,4,1
/est/resort/createnewresort/,4,1
/garden/look/OWRRW,4,1
/garden/visitor,4,1
/login,4,1
/paypal/webhook/,4,1
/place/27/12/2025,4,1
/placeslug/siargao,4,1
/placeslug/siargao/place/27/1/2026/,4,1
/resorts/palm-canopy-escape/,4,1
/.well-known,3,3
/@vite/env,3,3
/_all_dbs,3,3
/about,3,3
/actuator/env,3,3
/api-docs/swagger.json,3,3
/api/swagger.json,3,3
/assets,3,3
/ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application,3,3
/est/sampalochostel/,3,3
/est/sunset-sand-dunes/,3,3
/guides/company-formation-checklist/,3,3
/industries/credit-union-web-design/,3,3
/lander/-bull--sovkombank_quiz/,3,3
/lander/sber/,3,3
/login.action,3,3
/pages/blog/siargao/backpacker-travel-guide-siargao-island-philippines/,3,3
/pages/blog/siargao/magpupungko-rock-pools/,3,3
