Title,Place,Details,dateN,monthN,yearN,Website,Source
Live Bands at The Ext Siargao,The Ext Siargao,Live bands from 9 PM while enjoying beers and cocktails from 6 PM onwards.,3,7,2024,,diwasiargao.com
Disco Tropico DJ set,Barbosa,Disco Tropico DJ set with Happy Hour BOGO promo from 5:30-7:30PM,27,6,2024,,diwasiargao.com
Goodies Nightlife Party,Goodies,Local and international DJs bring the party starting at 9PM.,5,6,2024,,diwasiargao.com
Mama Coco’s Reggaeton Nights,Mama Coco,"Mama Coco welcomes you from 6 PM to 12 midnight, featuring happy hour specials from 6 to 8 PM.",5,6,2024,,diwasiargao.com
Nightlife at Siargao Bed and Brew,Siargao Bed and Brew,"Enjoy local beers and cocktails, then hit the dance floor as the music starts at 8PM.",6,7,2024,,diwasiargao.com
"Nightlife Party at Mama Coco, El Lobo, and Barbosa","Mama Coco, El Lobo, Barbosa","Mama Coco is your go-to spot for House/Techno beats, El Lobo will have you dancing to the latest hits, and Barbosa will be serving some Melodic and Acid House. The party starts at 9PM.",7,6,2024,,diwasiargao.com
Harana’s Sabado Nights,Harana,"Live music, unique acts, and more. The party runs from 9PM to 12 midnight.",8,6,2024,,diwasiargao.com
Happiness Siargao Weekly Night Market,Happiness Siargao,"Join the festivities from 6PM onwards for delicious food, shopping, refreshing drinks, and fun dancing.",25,6,2024,,diwasiargao.com
Nightlife at Siargao Beach Club and Sibol,Siargao Beach Club and Sibol,Socializing every night with music and dancing,2,7,2024,,diwasiargao.com
